,0,1
0,naoki abe,-1
1,myriam abramson,-1
2,david w. aha,-1
3,kamal m. ali,-1
4,eric allender,-1
5,dana angluin,-1
6,chidanand apte,-1
7,minoru asada,-1
8,lars asker,-1
9,javed aslam,-1
10,haralabos athanassiou,-1
11,jose l. balcazar,-1
12,timothy p. barber,-1
13,michael w. barley,-1
14,cristina baroglio,-1
15,peter bartlett,-1
16,eric baum,-1
17,welton becket,-1
18,shai ben-david,-1
19,george berg,-1
20,neil berkman,-1
21,malini bhandaru,-1
22,bir bhanu,-1
23,reinhard blasig,-1
24,avrim blum,-1
25,anselm blumer,-1
26,justin boyan,-1
27,carla e. brodley,-1
28,nader bshouty,-1
29,wray buntine,-1
30,andrey burago,-1
31,tom bylander,-1
32,bill byrne,-1
33,claire cardie,-1
34,richard a. caruana,-1
35,john case,-1
36,jason catlett,-1
37,nicolo cesa-bianchi,-1
38,philip chan,-1
39,mark changizi,-1
40,pang-chieh chen,-1
41,zhixiang chen,-1
42,wan p. chiang,-1
43,steve a. chien,-1
44,jeffery clouse,-1
45,william cohen,-1
46,david cohn,-1
47,clare bates congdon,-1
48,antoine cornuejols,-1
49,mark w. craven,-1
50,robert p. daley,-1
51,lindley darden,-1
52,chris darken,-1
53,bhaskar dasgupta,-1
54,brian d. davidson,-1
55,michael de la maza,-1
56,olivier de vel,-1
57,scott e. decatur,-1
58,gerald f. dejong,-1
59,kan deng,-1
60,thomas g. dietterich,-1
61,michael j. donahue,-1
62,george a. drastal,-1
63,harris drucker,-1
64,chris drummond,-1
65,hal duncan,-1
66,thomas ellman,-1
67,tapio elomaa,-1
68,susan l. epstein,-1
69,bob evans,-1
70,claudio facchinetti,-1
71,tom fawcett,-1
72,usama fayyad,-1
73,aaron feigelson,-1
74,nicolas fiechter,-1
75,david finton,-1
76,john fischer,-1
77,paul fischer,-1
78,seth flanders,-1
79,lance fortnow,-1
80,ameur foued,-1
81,judy a. franklin,-1
82,yoav freund,-1
83,johannes furnkranz,-1
84,merrick l. furst,-1
85,jean gabriel ganascia,-1
86,william gasarch,-1
87,ricard gavalda,-1
88,melinda t. gervasio,-1
89,yolanda gil,-1
90,david gillman,-1
91,attilio giordana,-1
92,kate goelz,-1
93,paul w. goldberg,-1
94,sally goldman,-1
95,diana gordon,-1
96,geoffrey gordon,-1
97,jonathan gratch,-1
98,leslie grate,-1
99,william a. greene,-1
100,russell greiner,-1
101,marko grobelnik,-1
102,tal grossman,-1
103,margo guertin,-1
104,tom hancock,-1
105,earl s. harris jr.,-1
106,david haussler,-1
107,matthias heger,-1
108,lisa hellerstein,-1
109,david helmbold,-1
110,daniel hennessy,-1
111,haym hirsh,-1
112,jonathan hodgson,-1
113,robert c. holte,0
114,jiarong hong,-1
115,chun-nan hsu,-1
116,kazushi ikeda,-1
117,masayuki inaba,-1
118,drago indjic,-1
119,nitin indurkhya,-1
120,jeff jackson,-1
121,sanjay jain,-1
122,wolfgang janko,-1
123,klaus p. jantke,-1
124,nathalie japkowicz,-1
125,george h. john,-1
126,randolph jones,-1
127,michael i. jordan,-1
128,leslie pack kaelbling,-1
129,bala kalyanasundaram,-1
130,thomas e. kammeyer,-1
131,grigoris karakoulas,-1
132,michael kearns,-1
133,neela khan,-1
134,roni khardon,-1
135,dennis f. kibler,-1
136,jorg-uwe kietz,-1
137,efim kinber,-1
138,jyrki kivinen,-1
139,emanuel knill,-1
140,craig knoblock,-1
141,ron kohavi,-1
142,pascal koiran,-1
143,moshe koppel,-1
144,daniel kortenkamp,-1
145,matevz kovacic,-1
146,stefan kramer,-1
147,martinch krikis,-1
148,martin kummer,-1
149,eyal kushilevitz,-1
150,stephen kwek,-1
151,wai lam,-1
152,ken lang,-1
153,steffen lange,-1
154,pat langley,-1
155,mary soon lee,-1
156,wee sun lee,-1
157,moshe leshno,-1
158,long-ji lin,-1
159,charles x. ling,-1
160,michael littman,-1
161,david loewenstern,-1
162,phil long,-1
163,wolfgang maass,-1
164,bruce a. macdonald,-1
165,rich maclin,-1
166,sridhar mahadevan,-1
167,j. jeffrey mahoney,-1
168,yishay mansour,-1
169,mario marchand,-1
170,shaul markovitch,-1
171,oded maron,-1
172,maja mataric,-1
173,david mathias,-1
174,toshiyasu matsushima,-1
175,stan matwin,-1
176,eddy mayoraz,-1
177,r. andrew mccallum,-1
178,l. thorne mccarty,-1
179,alexander m. meystel,-1
180,michael a. meystel,-1
181,steven minton,-1
182,nina mishra,-1
183,tom m. mitchell,-1
184,dunja mladenic,-1
185,david montgomery,-1
186,andrew w. moore,-1
187,johanne morin,-1
188,hiroshi motoda,-1
189,stephen muggleton,-1
190,patrick m. murphy,-1
